Orders.csv,1,2,3,4
Client Order ID,Instrument,Side,Quantity,Price
aa001,Rose,1,100,55.55
aa002,Rose,1,100,65
aa003,Rose,2,300,1
aa004,Rose,1,102,2
aa005,Lavender,2,500,45
aa006,Lavender,1,400,46
aa007,Lotus,1,1010,33
aa008,Lotus,2,150,50
aa009,Tulip,1,200,75
aa010,Tulip,2,500,70
aa011,Orchid,2,100,58
aa012,Orchid,1,250,63
aa013,Rose,2,300,2
aa014,Rose,1,150,56
aa015,Lavender,1,180,48
aa016,Lavender,2,200,44
aa017,Lotus,1,500,55
aa018,Lotus,2,400,33
aa019,Tulip,1,1000,41
aa020,Tulip,2,600,50
aa021,Orchid,1,400,65
aa022,Orchid,2,300,42
aa023,Rose,1,200,50
aa024,Rose,2,500,61
aa025,Lavender,1,600,47
aa026,Lavender,2,800,46
aa027,Lotus,1,700,35
aa028,Lotus,2,100,25
aa029,Tulip,1,150,85
aa030,Tulip,2,300,90
aa031,Orchid,1,200,70
aa032,Orchid,2,600,50
aa033,Rose,1,500,66
aa034,Rose,2,400,30
aa035,Lavender,1,450,35
aa036,Lavender,2,300,60
aa037,Lotus,1,200,42
aa038,Lotus,2,600,55
aa039,Tulip,1,1000,40
aa040,Tulip,2,500,45
aa041,Orchid,1,900,60
aa042,Orchid,2,700,65
aa043,Rose,1,300,51
aa044,Rose,2,200,62
aa045,Lavender,1,450,35
aa046,Lavender,2,200,47
aa047,Lotus,1,300,45
aa048,Lotus,2,150,55
aa049,Tulip,1,600,35
aa050,Tulip,2,1000,65
aa051,Orchid,1,150,55
aa052,Orchid,2,350,60
aa053,Rose,1,120,51
aa054,Rose,2,100,55
aa055,Lavender,1,240,52
aa056,Lavender,2,150,50
aa057,Lotus,1,310,45
aa058,Lotus,2,600,38
aa059,Tulip,1,700,68
aa060,Tulip,2,200,55
aa061,Orchid,1,350,63
aa062,Orchid,2,100,48
aa063,Rose,1,600,52
aa064,Rose,2,450,35
aa065,Lavender,1,380,46
aa066,Lavender,2,500,50
aa067,Lotus,1,230,40
aa068,Lotus,2,420,35
aa069,Tulip,1,450,70
aa070,Tulip,2,600,65
aa071,Orchid,1,550,58
