execution_rep1.csv
Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction time
ord1,aa001,Rose,1,New,100,55.55,Accepted,2024.11.24-23.05.50-631
ord2,aa002,Rose,1,New,100,65,Accepted,2024.11.24-23.05.50-641
ord3,aa003,Rose,2,PFill,100,65,Accepted,2024.11.24-23.05.50-641
ord2,aa002,Rose,1,Fill,100,65,Accepted,2024.11.24-23.05.50-641
ord3,aa003,Rose,2,PFill,100,55.55,Accepted,2024.11.24-23.05.50-631
ord1,aa001,Rose,1,Fill,100,55.55,Accepted,2024.11.24-23.05.50-631
ord4,aa004,Rose,1,Reject,102,2,Invalid size,2024.11.24-23.05.50-656
ord5,aa005,Lavender,2,New,500,45,Accepted,2024.11.24-23.05.50-661
ord6,aa006,Lavender,1,Fill,400,45,Accepted,2024.11.24-23.05.50-661
ord5,aa005,Lavender,2,PFill,400,45,Accepted,2024.11.24-23.05.50-661
ord7,aa007,Lotus,1,Reject,1010,33,Invalid size,2024.11.24-23.05.50-685
ord8,aa008,Lotus,2,New,150,50,Accepted,2024.11.24-23.05.50-695
ord9,aa009,Tulip,1,New,200,75,Accepted,2024.11.24-23.05.50-710
ord10,aa010,Tulip,2,PFill,200,75,Accepted,2024.11.24-23.05.50-710
ord9,aa009,Tulip,1,Fill,200,75,Accepted,2024.11.24-23.05.50-710
ord11,aa011,Orchid,2,New,100,58,Accepted,2024.11.24-23.05.50-735
ord12,aa012,Orchid,1,PFill,100,58,Accepted,2024.11.24-23.05.50-735
ord11,aa011,Orchid,2,Fill,100,58,Accepted,2024.11.24-23.05.50-735
ord13,aa013,Rose,2,New,300,2,Accepted,2024.11.24-23.05.50-763
ord14,aa014,Rose,1,PFill,100,1,Accepted,2024.11.24-23.05.50-646
ord3,aa003,Rose,2,Fill,100,1,Accepted,2024.11.24-23.05.50-646
ord14,aa014,Rose,1,PFill,50,2,Accepted,2024.11.24-23.05.50-763
ord13,aa013,Rose,2,PFill,50,2,Accepted,2024.11.24-23.05.50-763
ord15,aa015,Lavender,1,New,180,48,Accepted,2024.11.24-23.05.50-789
ord16,aa016,Lavender,2,PFill,180,48,Accepted,2024.11.24-23.05.50-789
ord15,aa015,Lavender,1,Fill,180,48,Accepted,2024.11.24-23.05.50-789
ord17,aa017,Lotus,1,PFill,150,50,Accepted,2024.11.24-23.05.50-695
